player,pitch_mph,ev_mph,launch_angle,distance_ft
"Happ, Ian",93.6,97.6,37,372
"Naquin, Tyler",93.6,105.4,22,417
"Varsho, Daulton",93.6,104.8,29,406
"Tucker, Kyle",93.6,100.2,27,369
"Voit, Luke",93.6,104.8,38,376
"Winker, Jesse",93.6,103.9,25,411
"Varsho, Daulton",93.6,103.6,24,397
"Harris II, Michael",93.6,112,25,435
"McCutchen, Andrew",93.6,99.7,27,364
"Suwinski, Jack",93.6,101,43,356
"Choi, Ji Man",93.6,99.1,39,348
"Trout, Mike",93.6,106.7,26,422
"Polanco, Jorge",93.6,104.7,35,391
"La Stella, Tommy",93.6,96.1,28,347
"Ramírez, José",93.6,101,21,343
"Hoskins, Rhys",93.6,99,26,355
"Judge, Aaron",93.6,111,33,410
"Ruf, Darin",93.6,100,36,383
"Hoskins, Rhys",93.6,98.9,31,385
"Goldschmidt, Paul",93.6,105.8,28,399
"Muncy, Max",93.6,102.4,27,383
"Giménez, Andrés",93.6,98.3,29,386
"Yelich, Christian",93.6,104.2,29,416
"Raley, Luke",93.6,100,29,405
"Torres, Gleyber",93.6,108.8,25,394
"Hoskins, Rhys",93.6,108.8,29,393
"Choi, Ji Man",93.6,104.8,28,409
"Chapman, Matt",93.6,107.8,25,424
"d'Arnaud, Travis",93.6,96.1,36,373
"Pujols, Albert",93.6,108,26,434
"Miranda, Jose",93.6,105.9,27,428
"Duffy, Matt",93.6,100.8,31,384
"Donaldson, Josh",93.6,105.8,30,419
"Villar, David",93.6,100.8,31,403
"Gallo, Joey",93.6,98.7,32,379
"Matijevic, J.J.",93.6,95,32,343
"Chapman, Matt",93.6,107.1,23,415
"Lowe, Brandon",93.6,112.2,26,414
"Candelario, Jeimer",93.6,108.3,28,430
"Ozuna, Marcell",93.6,108.5,36,421
"Bart, Joey",93.6,105.4,35,400
"Moniak, Mickey",93.6,100.6,26,377
"Kepler, Max",93.6,101.5,27,383
"Hernández, Teoscar",93.6,107.4,34,420
"France, Ty",93.6,105.3,21,403
"Plummer, Nick",93.6,100.7,25,383
"Jiménez, Eloy",93.5,97,29,382
"Varsho, Daulton",93.5,98.6,34,376
"Trout, Mike",93.5,100.9,32,409
"Semien, Marcus",93.5,103.5,27,430
"Kim, Ha-Seong",93.5,102.3,28,408
"Contreras, William",93.5,105.5,25,394
"Molina, Yadier",93.5,103.6,31,403
"Albies, Ozzie",93.5,100.1,35,402
"Chapman, Matt",93.5,100.7,24,420
"Reynolds, Bryan",93.5,100.7,34,384
"Choi, Ji Man",93.5,106.9,28,431
"Trevino, Jose",93.5,93.8,37,349
"Vargas, Miguel",93.5,101.1,27,390
"Schwarber, Kyle",93.5,110.6,38,389
"Hernández, Teoscar",93.5,107.6,33,421
"Wisdom, Patrick",93.5,105.3,25,422
"Springer, George",93.5,103.8,26,382
"Estrada, Thairo",93.5,101.3,25,394
"Rodgers, Brendan",93.5,108.5,22,409
"Estrada, Thairo",93.5,102,24,386
"Tucker, Kyle",93.5,102.9,34,391
"Kelly, Carson",93.5,104.9,30,415
"Velazquez, Andrew",93.5,100.8,23,367
"Betts, Mookie",93.5,106.1,24,415
"Harris II, Michael",93.5,111.2,21,364
"Pujols, Albert",93.5,108,24,439
"McCormick, Chas",93.5,106.8,27,408
"Profar, Jurickson",93.5,102.7,30,385
"Mitchell, Cal",93.5,105.7,22,414
"Hiura, Keston",93.5,104.4,22,383
"Proctor, Ford",93.5,98.5,26,370
"Stassi, Max",93.5,106.9,29,424
"Rizzo, Anthony",93.5,105.3,24,397
"Aquino, Aristides",93.5,104.1,25,403
"Velazquez, Andrew",93.4,103.3,31,392
"Rodríguez, Julio",93.4,106.1,24,416
"Pederson, Joc",93.4,93,30,364
"Dubón, Mauricio",93.4,106.1,20,406
"Torkelson, Spencer",93.4,101.6,24,376
"Reynolds, Bryan",93.4,107.5,29,425
"Bart, Joey",93.4,105.4,29,408
"Alvarez, Yordan",93.4,111.2,26,414
"Hamilton, Caleb",93.4,105,26,387
"Suwinski, Jack",93.4,112.4,32,443
"Clemens, Kody",93.4,103.2,29,387
"Hilliard, Sam",93.4,105.7,26,443
"García, Adolis",93.4,107.8,20,396
"Stott, Bryson",93.4,107.4,20,347
"Betts, Mookie",93.4,99.9,32,376
"De La Cruz, Bryan",93.4,111,23,370
"Andrus, Elvis",93.4,102.8,32,395
"Suárez, Eugenio",93.4,98.9,26,397
"Renfroe, Hunter",93.4,102.9,31,440
"Hiura, Keston",93.4,110.1,22,412
"Pratto, Nick",93.4,105.3,43,385
"Suwinski, Jack",93.4,110.3,33,404
"McNeil, Jeff",93.4,104.8,25,405
"Melendez, MJ",93.4,101.6,29,391
"Marte, Starling",93.4,109.8,22,431
"Hedges, Austin",93.4,101.7,29,394
"Díaz, Lewin",93.4,100.6,26,391
"Ibáñez, Andy",93.4,104.2,22,390
"Choi, Ji Man",93.4,103.6,27,400
"Marte, Starling",93.4,100.9,24,388
"Suárez, Eugenio",93.4,105.8,35,407
"Chisholm Jr., Jazz",93.4,104.6,40,404
"Alonso, Pete",93.4,105.8,36,375
"Pujols, Albert",93.4,105.5,25,403
"Villar, David",93.4,100.2,29,371
"Yelich, Christian",93.4,102,34,372
"Reyes, Franmil",93.4,107.1,25,418
"Melendez, MJ",93.4,101.7,28,406
"Hoskins, Rhys",93.4,109.4,31,441
"Reynolds, Bryan",93.4,112.4,30,424
"Riley, Austin",93.4,105.3,23,422
"Bohm, Alec",93.4,107.5,22,401
"Ozuna, Marcell",93.4,109.1,36,408
"Massey, Michael",93.4,106,31,386
"Sánchez, Jesús",93.4,108.6,31,415
"Rodríguez, Julio",93.4,101.6,27,360
"Rojas, Miguel",93.4,102.3,33,384
"Hicks, Aaron",93.4,104.8,27,412
"Ahmed, Nick",93.4,101,38,397
"Andrus, Elvis",93.4,105.6,29,430
"Gurriel Jr., Lourdes",93.4,99.7,25,368
"Chapman, Matt",93.4,105.9,27,392
"Harrison, Josh",93.3,102.2,33,414
"Semien, Marcus",93.3,99.5,27,395
"Groshans, Jordan",93.3,100.3,29,376
"Almora Jr., Albert",93.3,100.6,36,377
"Santander, Anthony",93.3,107.2,29,455
"Davis, J.D.",93.3,107.1,23,391
"Candelario, Jeimer",93.3,110.7,32,445
"Rodríguez, Julio",93.3,108.4,29,406
"Wade Jr., LaMonte",93.3,102.8,26,385
"Herrera, Odúbel",93.3,110.5,26,429
"Marsh, Brandon",93.3,104.3,29,418
"Riley, Austin",93.3,105.5,28,409
"Raleigh, Cal",93.3,102,34,400
"Contreras, William",93.3,105,34,381
"Alvarez, Yordan",93.3,99.2,31,359
"Báez, Javier",93.3,108.6,28,396
"Sheets, Gavin",93.3,105.9,25,422
"Walker, Christian",93.3,102.4,23,387
"Walker, Christian",93.3,104.6,24,407
"McNeil, Jeff",93.3,103,27,402
"Pujols, Albert",93.3,99.7,22,373
"Santander, Anthony",93.3,107.1,30,418
"Encarnación, Jerar",93.3,103.1,24,371
"Walker, Christian",93.3,108.4,34,432
"Belt, Brandon",93.3,102.6,29,385
"Dozier, Hunter",93.3,106.3,23,419
"Molina, Yadier",93.3,107.8,27,417
"Gregorius, Didi",93.3,103.4,27,376
"Pujols, Albert",93.3,96.8,31,368
"Semien, Marcus",93.3,106.2,27,418
"Perez, Salvador",93.3,106.9,31,441
"Mullins, Cedric",93.3,105.1,34,411
"Duran, Jarren",93.3,105.4,27,400
"Longoria, Evan",93.3,97.7,30,349
"Segura, Jean",93.3,99.9,24,361
"Judge, Aaron",93.3,103.8,31,355
"Morel, Christopher",93.3,103.9,27,404
"Realmuto, J.T.",93.3,107.3,47,362
"Lindor, Francisco",93.3,105.7,32,412
"Miller, Brad",93.3,101.3,26,360
"Herrera, Odúbel",93.3,103.7,30,377
"Machado, Manny",93.3,106.4,20,416
"Betts, Mookie",93.3,99.9,30,404
"Murphy, Sean",93.3,112.9,25,416
"Garcia, Dérmis",93.3,106.4,26,430
"Grandal, Yasmani",93.3,104.1,28,408
"Bleday, JJ",93.2,101.5,25,356
"Riley, Austin",93.2,113.6,23,417
"Walsh, Jared",93.2,107.3,22,386
"Zunino, Mike",93.2,98.4,34,379
"Voit, Luke",93.2,106,29,420
"Escobar, Eduardo",93.2,107.7,21,394
"Zunino, Mike",93.2,105.1,30,383
"Winker, Jesse",93.2,97.9,28,375
"Slater, Austin",93.2,98.8,27,347
"Velázquez, Nelson",93.2,109.1,29,428
"Naquin, Tyler",93.2,105.1,27,412
"Contreras, William",93.2,110.1,24,445
"Clemens, Kody",93.2,102.5,39,377
"Rivera, Emmanuel",93.2,108.4,25,420
"Mancini, Trey",93.2,107.7,25,426
"Hayes, Ke'Bryan",93.2,97.9,32,361
"Pinder, Chad",93.2,104.6,29,415
"McCormick, Chas",93.2,104.1,33,386
"Rosario, Amed",93.2,102.4,25,388
"Renfroe, Hunter",93.2,102.8,23,384
"Altuve, Jose",93.2,99.9,35,383
"Vaughn, Andrew",93.2,108,30,444
"Springer, George",93.2,103,22,361
"Paredes, Isaac",93.2,93.5,29,354
"Olson, Matt",93.2,100.7,25,399
"Brennan, Will",93.2,101.9,33,389
"Contreras, Willson",93.2,110.2,31,453
"Astudillo, Willians",93.2,94.6,37,364
"Phillips, Brett",93.2,104.9,34,398
"Viloria, Meibrys",93.2,105.2,33,421
"Seager, Corey",93.2,106.2,20,407
"Harris II, Michael",93.2,105.2,24,369
"Davis, J.D.",93.2,105.8,36,412
"Renfroe, Hunter",93.2,107.5,23,425
"Heim, Jonah",93.2,106.1,26,394
"Drury, Brandon",93.2,98.1,36,363
"Witt Jr., Bobby",93.2,109.8,25,443
"Torkelson, Spencer",93.2,111.5,27,432
"Reynolds, Matt",93.2,102.6,28,385
"Nootbaar, Lars",93.2,106.5,38,382
"Díaz, Aledmys",93.2,102.3,24,413
"Ramírez, José",93.2,97.3,26,383
"Perez, Salvador",93.2,110.4,20,346
"Mayfield, Jack",93.2,103.6,31,419
"Marcano, Tucupita",93.2,102.6,25,402
"Bellinger, Cody",93.1,107.2,31,423
"Garver, Mitch",93.1,97,31,382
"Betts, Mookie",93.1,107.6,22,379
"Pederson, Joc",93.1,109.1,29,436
"García, Avisaíl",93.1,94.6,35,359
"Ramírez, José",93.1,108.5,20,415
"Riley, Austin",93.1,105.9,37,402
"Moncada, Yoán",93.1,108,23,430
"Franco, Wander",93.1,109.7,23,389
"Ruiz, Keibert",93.1,101.3,32,402
"Bart, Joey",93.1,103.4,31,419
"Alonso, Pete",93.1,112.4,28,443
"Sánchez, Gary",93.1,111.9,25,430
"Abreu, José",93.1,106.8,29,418
"Casali, Curt",93.1,101.9,26,360
"Buxton, Byron",93.1,110.7,25,427
"Trout, Mike",93.1,98.9,37,361
"Arenado, Nolan",93.1,105.2,37,406
"Naylor, Josh",93.1,108.1,21,416
"Yepez, Juan",93.1,112.2,18,376
"Ozuna, Marcell",93.1,108.5,25,421
"Polanco, Jorge",93.1,106.9,27,397
"Walsh, Jared",93.1,106.6,33,412
"Pederson, Joc",93.1,106,32,420
"Lindor, Francisco",93.1,102,29,391
"Olson, Matt",93.1,109.3,33,443
"Harrison, Monte",93.1,102.6,35,376
"Rizzo, Anthony",93.1,110.3,37,389
"Taylor, Tyrone",93.1,105.1,22,386
"Harper, Bryce",93.1,103.9,34,378
"India, Jonathan",93.1,95,28,366
"LeMahieu, DJ",93.1,97.6,33,343
"Walsh, Jared",93.1,105.6,38,383
"Crawford, Brandon",93.1,99.1,33,377
"Swanson, Dansby",93.1,107,25,432
"Ríos, Edwin",93.1,106.4,29,399
"Davis, J.D.",93.1,106.7,28,394
"Ohtani, Shohei",93.1,108.3,28,419
"Friedl, TJ",93.1,103.7,30,412
"Taylor, Tyrone",93.1,101.6,29,416
"Kemp, Tony",93.1,98.6,26,392
"Crawford, Brandon",93.1,103.2,29,406
"France, Ty",93.1,99,32,378
"Renfroe, Hunter",93.1,105.2,23,413
"Wong, Kolten",93,95.3,39,357
"Trout, Mike",93,105.1,30,422
"Encarnación, Jerar",93,100.4,34,356
"Peña, Jeremy",93,107.7,29,407
"Romine, Austin",93,103.1,28,390
"Siri, Jose",93,108.7,36,413
"Mountcastle, Ryan",93,107.9,35,415
"Longoria, Evan",93,108,38,381
"Contreras, William",93,105.8,23,366
"Sánchez, Gary",93,102.6,30,376
"Pollock, AJ",93,105.4,24,403
"McMahon, Ryan",93,107.6,25,430
"Burger, Jake",93,113.7,18,398
"Giménez, Andrés",93,104.6,34,411
"Bader, Harrison",93,101.5,37,371
"Maile, Luke",93,103.8,35,377
"Mullins, Cedric",93,107,29,433
"Muncy, Max",93,106.5,41,377
"Mullins, Cedric",93,103.6,23,399
"Judge, Aaron",93,113.8,31,429
"Suzuki, Seiya",93,98.4,28,382
"Donaldson, Josh",93,102.5,31,382
"Blackmon, Charlie",93,102.1,32,438
"Judge, Aaron",93,107.7,31,431
"Andrus, Elvis",93,107,27,444
"Ruiz, Keibert",93,101.4,30,392
"Torres, Gleyber",93,106.1,28,391
"Adames, Willy",93,102.1,25,383
"Rengifo, Luis",93,103.9,27,408
"Cronenworth, Jake",93,105.2,26,413
"Hernández, Teoscar",93,104.3,26,389
"Bleday, JJ",93,100.9,31,387
"Rizzo, Anthony",93,106,33,430
"Bell, Josh",93,106.9,31,425
"Marte, Ketel",93,106.2,22,403
"Serven, Brian",93,103.5,29,450
"Verdugo, Alex",93,104.5,24,393
"Haniger, Mitch",93,103.7,34,387
"Sánchez, Gary",93,110,32,432
"Miranda, Jose",93,109.2,22,407
"Garver, Mitch",93,110.3,24,447
"Rizzo, Anthony",93,104.9,26,410
"Heim, Jonah",93,100.3,29,393
"Flores, Wilmer",93,99.2,28,389
"Blackmon, Charlie",93,108.7,29,410
"Seager, Corey",93,101.4,32,389
"Hiura, Keston",93,108.9,29,426
"Sánchez, Gary",93,107.2,31,456
"Hernández, Enrique",93,101.1,35,373
"Stott, Bryson",93,101.6,33,399
"Buxton, Byron",93,112.4,29,449
"Naylor, Josh",92.9,109,30,414
"Rivera, Emmanuel",92.9,98.3,43,352
"Mathias, Mark",92.9,105.1,27,415
"Pérez, Roberto",92.9,109.8,27,418
"Varsho, Daulton",92.9,101.1,28,383
"Mountcastle, Ryan",92.9,110.6,24,437
"Soler, Jorge",92.9,109.6,24,407
"Rizzo, Anthony",92.9,105.2,27,422
"Santana, Carlos",92.9,105.7,21,366
"McNeil, Jeff",92.9,100,28,390
"Soto, Juan",92.9,105.1,39,391
"Altuve, Jose",92.9,105.6,28,409
"Torres, Gleyber",92.9,105.8,37,390
"Fortes, Nick",92.9,104.8,37,386
"Castellanos, Nick",92.9,108.6,34,391
"Winker, Jesse",92.9,106.2,27,417
"Betts, Mookie",92.9,101.1,36,394
"Pratto, Nick",92.9,104.2,31,437
"Contreras, Willson",92.9,114.7,24,437
"Lowe, Brandon",92.9,109.3,27,437
"Burdick, Peyton",92.9,108.6,22,421
"Castro, Willi",92.9,104.9,20,395
"Rosario, Eddie",92.9,95.5,27,372
"Tucker, Kyle",92.9,102.1,37,377
"Torres, Gleyber",92.9,105.9,21,377
"Pham, Tommy",92.9,106.7,30,419
"Morel, Christopher",92.9,107.8,39,400
"Kelenic, Jarred",92.9,114,22,389
"Sánchez, Gary",92.9,105.6,32,400
"Waters, Drew",92.9,110.6,32,428
"Díaz, Yandy",92.9,104.7,25,434
"Ohtani, Shohei",92.9,106.9,29,425
"Swanson, Dansby",92.9,107.7,29,432
"Alonso, Pete",92.9,96.7,24,368
"d'Arnaud, Travis",92.9,104,32,409
"Sánchez, Jesús",92.9,101.6,30,379
"Renfroe, Hunter",92.9,103.3,26,405
"Hoerner, Nico",92.9,106.3,23,407
"France, Ty",92.9,103.1,38,383
"McNeil, Jeff",92.9,99.5,28,384
"Chirinos, Robinson",92.9,103.9,34,407
"Duran, Jarren",92.9,105.3,23,417
"Tellez, Rowdy",92.9,105.3,36,396
"Moore, Dylan",92.9,107.2,37,414
"Adell, Jo",92.9,109.5,18,417
"Pujols, Albert",92.9,105.3,26,409
"Seager, Corey",92.9,102.4,30,388
"Moustakas, Mike",92.9,105,24,427
"Rodgers, Brendan",92.8,104.9,25,435
"Rizzo, Anthony",92.8,97.6,37,346
"Kepler, Max",92.8,99.8,33,384
"Turner, Trea",92.8,104.3,29,407
"Maldonado, Martín",92.8,106.4,29,423
"Adames, Willy",92.8,107.1,24,388
"Piscotty, Stephen",92.8,103.9,31,413
"Ohtani, Shohei",92.8,110.1,22,418
"Belt, Brandon",92.8,103.9,27,368
"Alonso, Pete",92.8,111.6,17,408
"Edman, Tommy",92.8,93.9,31,351
"Aquino, Aristides",92.8,104.2,25,408
"Maldonado, Martín",92.8,102.2,32,416
"Arozarena, Randy",92.8,107,29,425
"Lamb, Jake",92.8,106.5,25,407
"Andrus, Elvis",92.8,96.5,39,350
"Naquin, Tyler",92.8,105.9,30,400
"Gurriel, Yuli",92.8,102.1,22,381
"Goldschmidt, Paul",92.8,107.2,35,418
"Díaz, Aledmys",92.8,107.5,19,361
"Farmer, Kyle",92.8,104.9,27,369
"Smith, Will",92.8,101.9,27,383
"Tellez, Rowdy",92.8,99.3,27,393
"Bouchard, Sean",92.8,107.9,22,347
"Raleigh, Cal",92.8,105.7,42,364
"Raleigh, Cal",92.8,104.6,26,394
"Gordon, Nick",92.8,106.2,32,410
"Brown, Seth",92.8,107.8,37,408
"McMahon, Ryan",92.8,103.8,28,387
"Marte, Starling",92.8,106.4,25,353
"Nola, Austin",92.8,103.8,29,393
"Gonzalez, Oscar",92.8,108.6,21,402
"Yelich, Christian",92.8,101.6,32,366
"Odor, Rougned",92.8,104,34,404
"Pujols, Albert",92.8,105.7,40,425
"Kelenic, Jarred",92.8,110.2,23,378
"Pujols, Albert",92.8,98.1,25,369
"Realmuto, J.T.",92.8,105,28,411
"Bolt, Skye",92.8,105.9,29,425
"Allen, Nick",92.7,96.2,31,379
"Pederson, Joc",92.7,106.8,42,390
"Santana, Carlos",92.7,105.6,24,427
"Cruz, Nelson",92.7,109,20,403
"Correa, Carlos",92.7,103.8,33,395
"Peña, Jeremy",92.7,110.5,21,411
"Hayes, Ke'Bryan",92.7,105.7,25,425
"Bellinger, Cody",92.7,105.7,25,424
"Lindor, Francisco",92.7,102.1,41,377
"McCutchen, Andrew",92.7,102.5,24,388
"Ahmed, Nick",92.7,98.3,30,398
"Trevino, Jose",92.7,107.7,23,405
"Bethancourt, Christian",92.7,103.7,27,378
"Naylor, Josh",92.7,99.9,29,358
"Haniger, Mitch",92.7,106.7,34,401
"Lewis, Kyle",92.7,107,33,420
"Schwarber, Kyle",92.7,112,33,424
"Murphy, Sean",92.7,110.6,23,405
"Cabrera, Miguel",92.7,104.2,31,412
"Ríos, Edwin",92.7,99.7,27,370
"Wendle, Joey",92.7,96.3,32,373
"Estrada, Thairo",92.7,99.9,25,410
"Robinson, Chuckie",92.7,104.3,33,389
"Marte, Starling",92.7,107.2,25,431
"Carpenter, Matt",92.7,103.6,30,370
"Raleigh, Cal",92.7,103,30,416
"DeJong, Paul",92.7,107.1,32,448
"Marte, Ketel",92.7,112.6,21,367
"Urías, Ramón",92.7,105,39,389
"Arozarena, Randy",92.7,105.7,25,392
"Báez, Javier",92.7,105.2,23,376
"Gonzalez, Marwin",92.7,100,36,368
"Davis, J.D.",92.7,106.9,28,437
"Happ, Ian",92.7,105.8,39,368
"Santander, Anthony",92.6,103.8,27,414
"Contreras, William",92.6,111.7,27,439
"Marte, Ketel",92.6,99.8,23,389
"Gurriel Jr., Lourdes",92.6,102.2,29,407
"Murphy, Sean",92.6,102.3,24,389
"Bogaerts, Xander",92.6,102.3,26,379
"Alvarez, Yordan",92.6,106.6,24,427
"Cron, C.J.",92.6,111,22,450
"Wong, Kolten",92.6,100,27,396
"Mancini, Trey",92.6,97.7,31,363
"Suzuki, Seiya",92.6,102.4,31,398
"Velazquez, Andrew",92.6,96.8,40,365
"Correa, Carlos",92.6,108.7,18,397
"Barnes, Austin",92.6,101,29,388
"McMahon, Ryan",92.6,111.7,25,429
"Suzuki, Seiya",92.6,99,26,375
"Contreras, William",92.6,99.5,29,396
"Schwarber, Kyle",92.6,111.6,26,441
"Pasquantino, Vinnie",92.6,107.3,31,411
"Mateo, Jorge",92.6,103,27,412
"Maldonado, Martín",92.6,101.7,30,402
"Goldschmidt, Paul",92.6,104.6,29,420
"Alonso, Pete",92.6,113.7,28,447
"Pujols, Albert",92.6,105,24,409
"Rengifo, Luis",92.6,104.9,28,429
"Garlick, Kyle",92.6,107.6,26,398
"Turner, Trea",92.6,104.5,31,419
"Newman, Kevin",92.6,101.5,30,397
"Bolt, Skye",92.6,100.3,31,379
"Peña, Jeremy",92.6,106.7,28,424
"Longoria, Evan",92.6,103.5,24,402
"Schwarber, Kyle",92.6,104.8,23,393
"Olson, Matt",92.6,99.8,26,385
"Rojas, Josh",92.6,101.5,28,361
"Grissom, Vaughn",92.6,100.9,28,395
"Rodríguez, Julio",92.6,106.9,21,390
"Bogaerts, Xander",92.6,102.8,25,389
"Bart, Joey",92.6,105.8,29,406
"Sánchez, Gary",92.6,103.6,24,368
"Arraez, Luis",92.6,94.9,38,363
"Moncada, Yoán",92.6,100.5,31,394
"Kemp, Tony",92.6,100.5,27,362
"Profar, Jurickson",92.6,106.1,24,375
"Moncada, Yoán",92.6,99.9,38,375
"Pinder, Chad",92.6,103.3,34,386
"Guerrero Jr., Vladimir",92.6,107.4,23,421
"Witt Jr., Bobby",92.6,104.4,29,396
"Perez, Salvador",92.6,101.3,33,372
"Bell, Josh",92.6,104.3,23,390
"Mancini, Trey",92.6,100.6,35,377
"Realmuto, J.T.",92.6,101.5,33,372
"d'Arnaud, Travis",92.6,103.2,32,422
"Naquin, Tyler",92.6,98.6,41,375
"Burdick, Peyton",92.6,106.4,23,405
"Trout, Mike",92.5,110.1,26,408
"Perez, Salvador",92.5,103.9,28,376
"Chavis, Michael",92.5,104.5,38,364
"Moncada, Yoán",92.5,107.2,22,424
"Walker, Christian",92.5,107.5,25,417
"Segura, Jean",92.5,105.5,24,404
"Polanco, Jorge",92.5,100.5,43,353
"Fraley, Jake",92.5,102.6,34,415
"Toro, Abraham",92.5,100.6,33,397
"Taylor, Michael A.",92.5,98.9,34,389
"Alvarez, Yordan",92.5,114.6,23,394
"Thaiss, Matt",92.5,107.2,34,394
"Call, Alex",92.5,99.4,37,378
"Wong, Kolten",92.5,101.5,35,386
"Gamel, Ben",92.5,101.8,25,356
"Hiura, Keston",92.5,110.5,35,440
"Muncy, Max",92.5,109.7,24,357
"Barnes, Austin",92.5,101.4,22,387
"Greene, Riley",92.5,106.9,25,386
"Robert Jr., Luis",92.5,113.3,23,436
"McCarthy, Jake",92.5,104,23,383
"Alcántara, Sergio",92.5,102.3,27,385
"Kirk, Alejandro",92.5,105.4,25,407
"Lindor, Francisco",92.5,98.4,31,366
"Miranda, Jose",92.5,102.5,40,360
"Torres, Gleyber",92.5,106.3,24,376
"Anderson, Brian",92.5,107.3,33,412
"Goldschmidt, Paul",92.5,96.2,35,377
"Soto, Juan",92.5,112.3,32,444
"Voit, Luke",92.5,107.5,30,421
"Wade, Tyler",92.5,96.7,29,364
"Hoskins, Rhys",92.5,102,27,366
"Correa, Carlos",92.5,107.5,29,422
"Tellez, Rowdy",92.5,100.5,27,380
"Larnach, Trevor",92.5,112.4,29,431
"Goldschmidt, Paul",92.5,104.3,33,416
"Peterson, Jace",92.5,102.1,27,412
"Sánchez, Gary",92.5,109.9,30,433
"Kiermaier, Kevin",92.5,102.1,15,293
"Arroyo, Christian",92.5,104.1,30,405
"Aguilar, Jesús",92.5,103.7,28,405
"Schwindel, Frank",92.5,98.2,34,369
"Muncy, Max",92.5,102.9,42,381
"Baty, Brett",92.5,104.1,24,389
"Hernandez, Yadiel",92.5,104.4,32,407
"Escobar, Eduardo",92.5,106.5,32,417
"Rodríguez, Julio",92.5,109.7,24,407
"Arenado, Nolan",92.5,103.7,29,397
"Espinal, Santiago",92.5,101.2,25,379
"Springer, George",92.5,107.2,23,413
"Harris II, Michael",92.5,105.9,28,424
"Semien, Marcus",92.5,103.3,31,400
"Miranda, Jose",92.5,103.6,24,345
"Cron, C.J.",92.5,102,35,414
"Candelario, Jeimer",92.4,104.9,32,418
"Brinson, Lewis",92.4,103,27,429
"Altuve, Jose",92.4,95.4,36,342
"Castro, Rodolfo",92.4,106.1,34,413
"Ohtani, Shohei",92.4,100.3,34,401
"Escobar, Eduardo",92.4,105.1,22,385
"Franco, Wander",92.4,100.2,29,395
"Contreras, William",92.4,107.8,23,411
"Díaz, Aledmys",92.4,99.2,40,347
"Biggio, Cavan",92.4,101.2,44,342
"Perez, Michael",92.4,104.1,24,413
"Urshela, Gio",92.4,105.4,23,411
"Seager, Corey",92.4,105.3,27,402
"Lowe, Nathaniel",92.4,109.4,19,402
"Higgins, P.J.",92.4,103.9,37,406
"Seager, Corey",92.4,105.9,29,420
"Witt Jr., Bobby",92.4,107.5,27,441
"Hernández, Teoscar",92.4,109.5,27,424
"Abreu, José",92.4,108,24,410
"Brantley, Michael",92.4,103.2,30,405
"Semien, Marcus",92.4,97.6,40,350
"Lewis, Royce",92.4,105.1,23,395
"Ruf, Darin",92.4,102.9,30,409
"Winker, Jesse",92.4,108.6,27,446
"Devers, Rafael",92.4,110.7,26,437
"Tucker, Kyle",92.4,111.1,37,426
"Ortega, Rafael",92.4,103.3,36,374
"Paredes, Isaac",92.4,104.9,33,408
"Smith, Pavin",92.4,104.9,40,365
"Olson, Matt",92.4,110,43,379
"Marte, Starling",92.4,106,35,408
"Castro, Rodolfo",92.4,109.9,38,396
"Yastrzemski, Mike",92.3,101.5,30,385
"Schwarber, Kyle",92.3,106.3,31,394
"Smith, Will",92.3,108.4,27,428
"Ramírez, José",92.3,95.8,30,380
"Judge, Aaron",92.3,112,19,364
"Kim, Ha-Seong",92.3,108.5,22,425
"Haase, Eric",92.3,109.3,26,444
"Torres, Gleyber",92.3,106.5,28,369
"Ohtani, Shohei",92.3,111.5,25,423
"Smith, Will",92.3,94.3,33,366
"Haniger, Mitch",92.3,110.9,21,385
"Nootbaar, Lars",92.3,99.2,26,355
"Garlick, Kyle",92.3,105.9,36,378
"Gallo, Joey",92.3,104.7,34,383
"Anderson, Tim",92.3,101.6,25,389
"Blackmon, Charlie",92.3,103.3,31,433
"Harris II, Michael",92.3,99.9,31,370
"Arenado, Nolan",92.3,107.1,24,377
"Machado, Manny",92.3,105.2,30,412
"Schwindel, Frank",92.3,107.4,27,436
"Slater, Austin",92.3,104.2,25,394
"Castro, Harold",92.3,98.4,31,390
"Semien, Marcus",92.3,100.8,35,379
"Pollock, AJ",92.3,99.1,29,362
"Pujols, Albert",92.3,105.1,22,374
"Edman, Tommy",92.3,101.9,28,394
"Flores, Wilmer",92.3,101.5,28,387
"Grisham, Trent",92.3,109.1,30,428
"Lindor, Francisco",92.3,102,30,390
"Castro, Rodolfo",92.3,105.6,28,413
"Urías, Ramón",92.3,105.8,30,417
"Renfroe, Hunter",92.3,108.8,30,428
"Altuve, Jose",92.3,102,27,388
"Yastrzemski, Mike",92.3,107.3,26,379
"Bregman, Alex",92.3,99.7,26,360
"Longoria, Evan",92.3,103.9,34,398
"Smith, Pavin",92.3,107.7,24,415
"Judge, Aaron",92.3,111.6,35,414
"Bradley Jr., Jackie",92.3,98.1,32,359
"Reynolds, Bryan",92.3,104.7,34,405
"Escobar, Eduardo",92.3,105.5,29,426
"Schwarber, Kyle",92.3,101.9,31,392
"Jansen, Danny",92.2,105.8,25,429
"Baddoo, Akil",92.2,108.5,27,448
"Garcia, Dérmis",92.2,106.9,35,410
"Castillo, Diego",92.2,102.8,28,418
"Jansen, Danny",92.2,99,30,401
"Frazier, Adam",92.2,97.9,37,352
"Springer, George",92.2,112.3,25,433
